Id,Label,Type
370,Callander and Oban Railway Company,0
371,Calne Railway Company,0
372,Calverley and Horsforth Gas Company,0
373,Cambrain Grantie Company Limited,0
374,Cambrain Railway Company,0
375,Cambridge Railway Company,0
376,"Campbell, Young and Company",0
377,Canada Company,0
378,Canadian Copper and Sulphur Company Limited,0
379,Cancock and Leacroft Colliery Company Limited,0
380,Cannock and Huntington Colliery Company Limited,0
381,Cannock Chase and Wolverhampton Railways Company,0
382,Cannock Chase Collivery Company Limited,0
383,Cannock and Rugeley Colliery Company Limited,0
384,Cantlie Steamship Company Limited,0
385,Cape Copper Mining Company Limited,0
386,Capital and Counties Bank,0
387,Capital Life Association,0
388,Carden & Co.,0
389,Cardiff and Swansea Smokeless Steam Coal Company Limited,0
390,Carlisle and Cumberland Bank,0
391,Carlisle and Silloth Bay Railway and Dock Company,0
392,Carlisle City and District Bank,0
393,Carmarthen and Cardigan Railway Company,0
394,Carrickfergus and Larne Railway Company,0
395,Carrigel Railway Company,0
396,Carrow Grove Paper Company Limited,0
397,Carthagena and Herrerias Steam Tramways Company Limited,0
398,Caterham Spring Water Company,0
399,Cazon Exhibition Hall Company Limited,0
400,Central American Assocaition Limited,0
401,Central Argentine Land Company Limited,0
402,Central Argentine Railway Company Limited,0
403,Central Bank of London Limited,0
404,Central Pacific Coal and Coke Company Limited,0
405,Central Uruguay Railway Company Limited,0
406,Central Wales and Carmarthen Junction Railway Company,0
407,Cesena Sulphur Company Limited,0
408,Ceylon Company Limited,0
409,Ceylon Investment Association Limited,0
410,Charing Cross Hotel Company Limited,0
411,Charles Cammell and Company Limited,0
412,Charles Noon and Company Limited,0
413,Chartered Bank of India Australia and China,0
414,Chartered Mercantile Bank of India London and China,0
415,Chaytor and Webster,0
416,Chelsea Waterworks Company,0
417,Cheque Bank Limited,0
418,Chester Tramways Company,0
419,Chicago and Grand Trunk Railway Company Limited,0
420,Chicago and North Western Railway Company,0
421,Chillington Iron Company Limited,0
422,Chontales Consolidated Mining Company Limited,0
423,Church of England Life and Fire Assurance,0
424,City Bank,0
425,West India and Panama Telegraph Company Limited,0
426,City of Aberdeen Land Association Limited,0
427,City of Brunswick Tramway Company Limited,0
428,City of Buenos Ayers Tramways Company Limited,0
429,City of Cork Steam Packet Company,0
430,City of Dublin Brewery Company Limited,0
431,City of Dublin Steam Packet Company,0
432,City of Exeter Industrial Dwellings Company,0
433,City of Glasgow Life Assurance Company,0
434,City of Glasgow Union Railway Company,0
435,City of London Brewery Company Limited,0
436,City of London Real Property Company Limited,0
437,City of Norwich Waterworks Company,0
438,City of Postdam Waterworks Company Limited,0
439,City of St. Petersburg New Waterworks Company Limited,0
440,City Office Company Limited,0
441,Clacton-On-Sea Railway Company,0
442,Clane Railway Company,0
443,Clay Company Glenview,0
444,Cleator and Workington Junction Railway Company,0
445,Cleaveland Water Company,0
446,Clergy Mutual Assurance Society,0
447,Clerical Medical and General Life Assurance Society,0
448,Cleveland Gas Company Limited,0
449,Cleveland Water Company,0
450,Clifton Hotel Company Limited,0
451,Clifton Suspension Bridge Company,0
452,Clifton Water Supply Company Limited,0
453,Clippens Oil Company Limited,0
454,Clydesdale Banking Company,0
455,Vale of Clyde Tramways Company,0
456,Clydesdale Coal Company,0
457,Coal Co Opretive Society Limited,0
458,Coatham Hotel Company Limited,0
459,Coatham Victoria Pier Company Limited,0
460,"Cockermouth, Keswick and Penrith Railway Company",0
461,Coeford Hematile Iron Ore Company Limited,0
462,Coiapo Mining Company Limited,0
463,Cockermouth Union Banking Company Limited,0
464,"Colchester, Stour Valley, Sudbury, and Halstead Railway Company",0
465,Cold Taton Colliery Company,0
466,Colne Valley and Halstead Railway Company,0
467,Colne Valley Water Company,0
468,Colombo Commercial Company Limited,0
469,Colombo Gas and Water Company Limited,0
470,Colonial Bank,0
471,Colonial Company Limited,0
472,Colonial Investment and Agency Company of New Zealand Limited,0
473,Colorado Mortgage and Investment Company of London Limited,0
474,Colorado United Mining Cement Company Limited,0
475,Colvin & Co.,0
476,Colwyn Bay and Pwylychrocin Estate Company Limited,0
477,Coly & Co.,0
478,Commercial Bank of Alexander Limited,0
479,Commercial Bank of Scotland,0
480,Commercial Banking Company of Sydney,0
481,Commercial Gas Company,0
482,Commercial Steamship Company Limited,0
483,Commercial Union Assurance Company,0
484,Commercial Union Bank Limited,0
485,Compagine Generale Des Asphalt Paving Company Limited,0
486,Conservative Land Society,0
487,Conde d'Eu Railway Company Limited,0
488,Conishead Priory Hydropathic Company Limited,0
489,Connorton & Son,0
490,Consert Iron Company Limited,0
491,Consert Spanish Ore Company Limited,0
492,Consolidated Bank Limited,0
493,Continental Union Gas Company,0
494,Copiapo Gas Company Limited,0
495,Copiapo Mining Company Limited,0
496,Copiapo Railway Company,0
497,Coquimbo Railway Company,0
498,Corinthian Shipping Company Limited,0
499,Cork and Bandon Railway Company,0
500,Cork and Macroom Direct Railway Company,0
501,Cork Blackrock and Passage Railway Company,0
502,Cork Harbour Docks and Warehouses Company Limited,0
503,Cork Steam Packet Company,0
504,Cornawall Railway Company,0
505,Cornish Bank Limited,0
506,Cornwall Minerals Railway Company,0
507,Corris Railway Company,0
508,Corwen and Bala Railway Comapany,0
509,Cory & Co,0
510,"Costs and Cripps, Parliamentary Agents",0
511,Cotesworth & Powell,0
512,Coto Menon (Spain) Sulphur Company Limited,0
513,"Cotton and Waste ",0
514,County Fire Office,0
515,Provident Life Office,0
516,Country Hailstorm Insurance Company,0
517,County Down Flax Spinning and Weaving Company Limited,0
518,County of Gloucester Bank,0
519,County of Stafford Bank,0
520,Coutts & Co.,0
521,Coventry Match Company Limited,0
522,Coventry Union Banking Company,0
523,Cowbridge Railway Company,0
524,Cowes and Newport Railway Company,0
525,Craig Ddu Slate Company Limited,0
526,Craigerehart Hydropathic Company Limited,0
527,Cranbrook and Paddock Wood Railway Company,0
528,Credit Foncier of Mauritius Limited,0
529,Workington Hematite Iron and Steel Company Limited,0
530,"Crewdson, Cross and Co. Limited ",0
531,Crompton and Evans Union Bank Limited,0
532,Crompton Handyside & Co. Limited,0
533,"Crosses and Wenkworth Limited ",0
534,Crossley and Sons Limited,0
535,Crown Life Assurance Company,0
536,Croydon Tramways Company Limited,0
537,London Chatham and Dover Railway Company,0
538,London Brighton and South Coast Railway Company,0
539,Crystal Palace Company,0
540,Crystal Palace District Gas Company,0
541,Cuba Submarine Telegraph Company Limited,0
542,"Culdip & Son ",0
543,Culm Valley Light Railway Company,0
544,Cumberland Iron and Mining Company Limited,0
545,Cumberland Union Banking Company Limited,0
546,Currier and Leather Merchants,0
547,Curson Exhibition Hall Company Limited,0
548,Curtis & Co.,0
549,Curzen Exhibition Hall Company Limited,0
550,Cuthrie & Co.,0
551,Dale Young & Co.,0
552,Danubian Navigation Compny lImited,0
553,Dare Valley Railway Company,0
554,Darjeeling Company Limited,0
555,Darlington District Banking Company,0
556,Darlington Iron Company Limited,0
557,Davy Brothers Limited Company,0
558,Deane & Co.,0
559,Dejoo Tea Company,0
560,Delhi and London Bank Limited,0
561,Demerara Railway Company,0
562,Denbighshire Consolos Lead Mining Company,0
563,Dent Brother & Co.,0
564,Derby and Derbyshire Bank,0
565,Derby Commercial Bank Limited,0
566,Derby Law Union Fire and Life Insurance Company,0
567,Derby Recreation Company Limited,0
568,Derby Tramways Company Limited,0
569,Devas Routledge and Co. Limited,0
570,Devon and Cornwall Banking Company,0
571,Devon and Cornwall Railway Company,0
572,Devon and Exeter Hotel Company Limited,0
573,Devon and Somerest Railway Company,0
574,Devon Great Consols Company Limited,0
575,Devonport and Tiverton Brewery Company Limited,0
576,Dickson Brothers & Co.,0
577,"Didcot, Newbury and Southampton Junction Railway Company",0
578,Digby & Liddle,0
579,Dingwall and Skye Railway Company,0
580,Direct Spanish Telegraph Company Limited,0
581,Direct United States Cable Company,0
582,Discount Corporation of Ireland Limited,0
583,District Banking Company,0
584,District of Chemnitz Tramway Company Limited,0
585,Ditton Brook Iron Company Limited,0
586,Don Pedro North Del Rey Gold Mining Company Limited,0
587,Doom Dooma Tea Company Limited,0
588,Douglass Iron Promenade Pier Company Limited,0
589,Douglass Water Works Company,0
590,"Downpatrick, Dundrum and Newcastle Railway Company",0
591,Drogheda Steam Packet Company Limited,0
592,Dry Dock Company,0
593,Du Buisson & Co.,0
594,Du Croz & Co.,0
595,Dublin and Kingstown Railway Company,0
596,Dublin and Liverpool Steamship Building Company,0
597,Dublin and Meath Railway Company,0
598,Dublin Artisans Dwellings Company Limited,0
599,Dublin Board Standard Life Assurance Society,0
600,Dublin Central Tramways Company,0
601,Dublin Wicklow and Wexford Railway Company,0
602,Duckworth & Co.,0
603,Dudley and District Banking Company,0
604,Dufour Brothers & Co.,0
605,Dumbell's Banking Company Limited,0
606,Dumes and Wylie,0
607,Dunaberg and Witepsk Railway Company Limited,0
608,Dunblane Hydropathic Company Limited,0
609,"Duncan & Duguid Advocates Aberdeen ",0
610,Dundalk and Newry Steam Packet Company Limited,0
611,Dundalk Newry and Greenore Railway Company,0
612,Dundee and Newcaste Steam Shipping Company Limited,0
613,Dundee and Newcastle Railway Company,0
614,Dundee and Perth and Aberdeen Junction Railway Company,0
615,Dundee Corn Exchange and Company Limited,0
616,Dundee Land Investment Company Limited,0
617,Dundee Mortgage and Trust Investment Company Limited,0
618,Dundee Perth and London Shipping Company,0
619,Dundee Polar Fishing Company,0
620,Dungarvan and Lismore Railway Company,0
621,Dunn & Co.,0
622,Durrant & Co.,0
623,Dutch Rhenish Railway Company,0
624,Dwellings Industries Classes,0
625,E. Musgrave & Co.,0
626,E. Springmann & Co.,0
627,E. W. Oaks & Co.,0
628,Eagle Insurance Company,0
629,Earle's Shipbuilding and Engineering Company Limited,0
630,East and West India Dock Company,0
631,East and West Insurance Company,0
632,East and West Junction Railway Company,0
633,East Argentine Railway Company Limited,0
634,East Cawes Gas Company,0
635,"East Condon Waterworks Company ",0
636,East Cornwall Mineral Railway Company,0
637,East Craven Moor Lead Company Limited,0
638,East Gloucestershire Railway Company,0
639,East Lincolnshire Railway Company,0
640,East London Railway Company,0
641,East London Waterworks Company,0
642,East Norfolk Railway Company,0
643,Eastern and South African Telegraph Company Limited,0
