Source,Target,Type
1040,1695,Undirected
1040,1808,Undirected
1251,1379,Undirected
1251,1381,Undirected
1251,1431,Undirected
1251,1683,Undirected
1251,1695,Undirected
1251,1808,Undirected
1379,1381,Undirected
1379,1431,Undirected
1379,1683,Undirected
1379,1695,Undirected
1379,1808,Undirected
1381,1431,Undirected
1381,1683,Undirected
1381,1695,Undirected
1381,1808,Undirected
1431,1683,Undirected
1431,1695,Undirected
1431,1808,Undirected
1683,1695,Undirected
1683,1808,Undirected
1695,1808,Undirected
76,652,Undirected
76,754,Undirected
76,2195,Undirected
652,754,Undirected
652,2195,Undirected
754,2195,Undirected
1152,1791,Undirected
106,630,Undirected
106,993,Undirected
106,1243,Undirected
106,1540,Undirected
106,1612,Undirected
106,1709,Undirected
630,993,Undirected
630,1243,Undirected
630,1540,Undirected
630,1612,Undirected
630,1709,Undirected
993,1243,Undirected
993,1540,Undirected
993,1612,Undirected
993,1709,Undirected
1243,1540,Undirected
1243,1612,Undirected
1243,1709,Undirected
1540,1612,Undirected
1540,1709,Undirected
1612,1709,Undirected
102,487,Undirected
102,646,Undirected
102,1719,Undirected
487,646,Undirected
487,1719,Undirected
646,1719,Undirected
474,646,Undirected
474,2102,Undirected
646,2102,Undirected
175,213,Undirected
175,2085,Undirected
213,2085,Undirected
549,1883,Undirected
102,560,Undirected
102,994,Undirected
560,994,Undirected
883,1270,Undirected
883,1987,Undirected
1270,1987,Undirected
128,556,Undirected
134,1135,Undirected
322,1446,Undirected
322,2087,Undirected
1446,2087,Undirected
484,1618,Undirected
1459,1837,Undirected
1795,2021,Undirected
915,1128,Undirected
220,951,Undirected
438,769,Undirected
438,828,Undirected
438,1262,Undirected
438,1712,Undirected
769,828,Undirected
769,1262,Undirected
769,1712,Undirected
828,1262,Undirected
828,1712,Undirected
1262,1712,Undirected
133,645,Undirected
133,868,Undirected
133,1796,Undirected
645,868,Undirected
645,1796,Undirected
868,1796,Undirected
1970,1971,Undirected
1438,1439,Undirected
508,2115,Undirected
57,648,Undirected
57,2063,Undirected
648,2063,Undirected
385,421,Undirected
385,678,Undirected
421,678,Undirected
1505,1508,Undirected
209,216,Undirected
