Source,Target,Type
2398,2524,Undirected
2398,2538,Undirected
2398,3149,Undirected
2398,3311,Undirected
2398,3639,Undirected
2398,3816,Undirected
2398,3981,Undirected
2398,4466,Undirected
2398,5661,Undirected
2398,7271,Undirected
2399,4633,Undirected
2399,5256,Undirected
2399,6470,Undirected
2399,6743,Undirected
2399,7011,Undirected
2400,4399,Undirected
2400,4756,Undirected
2400,5226,Undirected
2400,5297,Undirected
2400,5794,Undirected
2400,6153,Undirected
2400,7343,Undirected
2401,2437,Undirected
2401,2548,Undirected
2401,4060,Undirected
2401,4183,Undirected
2401,5972,Undirected
2402,2772,Undirected
2402,3301,Undirected
2402,3491,Undirected
2402,4689,Undirected
2402,4793,Undirected
2402,6097,Undirected
2402,6389,Undirected
2402,6404,Undirected
2402,7520,Undirected
2403,2576,Undirected
2403,2789,Undirected
2403,2965,Undirected
2403,3614,Undirected
2403,3729,Undirected
2403,4170,Undirected
2403,4633,Undirected
2403,4850,Undirected
2403,4859,Undirected
2403,4882,Undirected
2403,5403,Undirected
2403,6604,Undirected
2403,6752,Undirected
2403,6758,Undirected
2403,6936,Undirected
2403,6939,Undirected
2403,7372,Undirected
2405,4499,Undirected
2405,4628,Undirected
2405,6003,Undirected
2405,6738,Undirected
2405,2764,Undirected
2405,5201,Undirected
2405,5435,Undirected
2405,5924,Undirected
2405,6738,Undirected
2405,6784,Undirected
2405,4001,Undirected
2406,4572,Undirected
2406,4981,Undirected
2406,5653,Undirected
2406,6008,Undirected
2406,6111,Undirected
2406,6306,Undirected
2407,4102,Undirected
2407,4647,Undirected
2407,5108,Undirected
2407,6862,Undirected
2407,7395,Undirected
2408,2697,Undirected
2408,3448,Undirected
2408,4036,Undirected
2408,4615,Undirected
2408,5618,Undirected
2408,7249,Undirected
2408,7283,Undirected
2409,3749,Undirected
2409,3919,Undirected
2409,3989,Undirected
2409,4703,Undirected
2409,7283,Undirected
2410,4780,Undirected
2410,5757,Undirected
2410,6364,Undirected
2410,3681,Undirected
2410,3801,Undirected
2410,4565,Undirected
2410,5501,Undirected
2410,6309,Undirected
2410,6850,Undirected
2411,2880,Undirected
2411,3205,Undirected
2411,5612,Undirected
2411,5864,Undirected
2411,6309,Undirected
2411,6485,Undirected
2411,6849,Undirected
2412,4271,Undirected
2412,5102,Undirected
2412,5391,Undirected
2412,5542,Undirected
2412,6145,Undirected
2412,7267,Undirected
2412,7412,Undirected
2412,7506,Undirected
2412,7508,Undirected
2412,2682,Undirected
2412,2789,Undirected
2412,2832,Undirected
2412,3079,Undirected
2412,4484,Undirected
2412,5077,Undirected
